English,Bangla
It Is,এইটা
Yours,তোমার
There Is,এখানে
We Are,আমরা
By Doing,করেছে
Will Be,হবে
To Do,করতে
Right,ঠিক
Something,কিছু
In Mind,মনে
They Are,তারা
Become,হয়ে যান
A Lot,অনেক
Do It,এটা কর
Being,হচ্ছে
Has Been,হয়েছে
Give It,এটা দাও
Their,তাদের
Which,যা
I Know,আমি জানি
To Go,যাও
Where,কোথায়
Will Do,করব
Will Go,যাবে
The End,দ্য এন্ড
Thank You,ধন্যবাদ
To Say,বলতে
Someone,কেউ
The Time,সময়
Father,পিতা
To Be,হতে
Move On,চলো এগোই
A Little,একটু
I Can,আমি পারি
To See,দেখতে
Everyone,সবাই
Before,আগে
Doing,করছেন
Get Out,চলে যাও
Again,আবার
To Give,প্রদান করা
To You,তোমাকে
People,মানুষ
Mother,মা
Towards,দিকে
Actually,আসলে
Start,শুরু করুন
Sorry,দুঃখিত
Come On,চলে আসো
Means,মানে
Saying,বলছে
Faith,বিশ্বাস
I Did,আমি করেছিলাম
Of Course,অবশ্যই
Because,কারণ
Is Going,যাচ্ছে
These,এইগুলো
Nothing,কিছুই না
That'S It,এটাই
Money,টাকা
Going,যাচ্ছে
To Understand,বুঝতে
Today,আজ
Tell Me,আমাকে বলুন
By Holding,ধরে রেখে
Please,অনুগ্রহ
Choice,পছন্দ
There,সেখানে
The Problem,সমস্যাটি
After,পরে
Remains,থেকে যায়
Beautiful,সুন্দর
Wrong,ভুল
Brother,ভাই
Up To,পর্যন্ত
To Stay,থাকার
Let'S Go,চলো যাই
Other,অন্যান্য
To Find,খুঁজতে
Regarding,সংক্রান্ত
Leave,ছেড়ে দিন
To Take,নিতে
The Phone,ফোনটি
Friend,বন্ধু
Will Need,প্রয়োজন হবে
As If,যেন
The Life,জীবন
The Thought,চিন্তা
About,সম্পর্কিত
So Much,অনেক
In Front,সামনে
Thing,জিনিস
Hello,হ্যালো
I Was,আমি ছিলাম
Everything,সবকিছু
Should,উচিত
Matter,ব্যাপার
You Can,আপনি পারেন
Has Arrived,মাত্র পৌছেছে
The First,প্রথম
How Much,কত
To Know,জানার জন্য
Will Come,আসবে
You Do,তুমি কর
Like This,এটার মত
Made Up,মেড আপ
Except,ছাড়া
In Hand,হাতের মধ্যে
The Most,বেশিরভাগ
Maybe,হতে পারে
Is Coming,আসছে
At All,এট অল
Feeling,অনুভূতি
Let'S,চলুন
Really,সত্যিই
Outside,বাইরে
Quite,বেশ
To Come,আসা
I Came,আমি এসেছিলাম
The Whole,সমগ্র
Go To,যাও
These Are,এইগুলো
Small,ছোট
Me Too,আমিও
Always,সর্বদা
Received,গৃহীত
Minutes,মিনিট
By Going,গিয়ে
The Police,পুলিশ
To Someone,কারো প্রতি
I Will Go,আমি যাব
Be It,এটা হোক
Myself,আমি নিজেই
To Hear,শুনতে
Of People,মানুষ
The Place,স্থান
Quickly,দ্রুত
Sit Down,বস
Throw Away,দূরে নিক্ষেপ
Kindness,উদারতা
Knows,জানে
Above,উপরে
The Head,মাথা
Let'S See,দেখা যাক
Murder,খুন
Comes,আসে
Coming,আসছে
If You Do,যদি তুমি করো
Between,মধ্যে
Giving,দান
At Night,রাতে
The Car,গাড়ী
Was Done,করা শেষ
Shut Up,চুপ কর
Forget,ভুলে যাও
Stand Up,দাড়াও
Are You,আপনি
Condition,অবস্থা
Still,এখনও
Do You,আপনি করুন
To Everyone,সবার জন্য
However,যাহোক
To It,এটা
To Get,পেতে
Alive,জীবিত
Alone,একা
He Is,তিনি
Will Get,পাবেন
Income,আয়
Inside,ভিতরে
Crazy,পাগল
Gives,দেয়
Whose,কার
Found,পাওয়া গেছে
Will Give,দিতে হবে
You Know,তুমি জান
Takes,লাগে
Calm Down,শান্ত হও
Happy,খুশি
Original,আসল
The Same,একই
You Did,তুমি করেছ
The News,সংবাদ
Father'S,পিতার
Will Say,বলতে হবে
Chance,সুযোগ
At Work,কাজে
Indeed,প্রকৃতপক্ষে
Possible,সম্ভব
Are There,সেখানে আছে
Did Not,করেননি
Marriage,বিবাহ
Enough,যথেষ্ট
The Door,দরজা
Keeping,রাখা
Right Here,এখানেই
The Way,রাস্তা
Whether,কিনা
Three,তিন
Don'T Know,জানি না
The Eyes,চোখগুলো
So That,তাই যে
Somewhere,কোথাও
Question,প্রশ্ন
To Keep,রাখতে
The Answer,উত্তর
Meanwhile,এদিকে
In Place,জায়গায়
The Thing,জিনিস
Ready,প্রস্তুত
To Us,আমাদেরকে
I See,আমি দেখি
Excellent,চমৎকার
The Gold,সোনা
Given,দেওয়া
You Are,তুমি
I Thought,আমি ভাবি
The Water,পানি
If You Go,আপনি যদি যান
Sound,শব্দ
Forgiveness,ক্ষমা
Wasted,নষ্ট
Killing,হত্যা
Together,একসাথে
Probably,সম্ভবত
Simple,সরল
Captain,ক্যাপ্টেন
I Said,অামি বলেছিলাম
Almost,প্রায়
To Me,আমার কাছে
Protection,সুরক্ষা
The Rest,অবশিষ্ট
I Gave,আমি দিয়েছি
Difficult,কঠিন
The Boss,বস
The King,রাজা
Destruction,ধ্বংস
Of Life,জীবনের
The Truth,সত্যটি
Trouble,ঝামেলা
Behind,পিছনে
Hold On,অপেক্ষা কর
The Mind,মন
Listen,শুনুন
It'S Me,এটা আমি
Right Now,এখনই
Theft,চুরি
Such As,যেমন
Injury,আঘাত
The Only,একমাত্র
Never,কখনই না
Getting,পেয়ে
I Knew,আমি জানতাম
A Thousand,এক হাজার
I Went,আমি গিয়েছিলাম
Harry,হ্যারি
Did You,তুমি কি
Strength,শক্তি
The Decision,সিদ্ধান্ত
The Game,খেলাাটি
Get Away,চলে যাও
Clear,পরিষ্কার
To Eat,খেতে
You Were,তুমি ছিলে
I Will Say,আমি বলব
Picture,ছবি
Great,দারুণ
In This,এই
Of What,কি
Not So,তাই না
At Home,ঘরে
If There Is,আছে যদি
Weapons,অস্ত্র
Shala,শালা
Welcome,স্বাগত
Another One,আরেকটা
Due To,কারণে
Look For,খোঁজা
In The Name,নামে
Opened,খোলা হয়েছে
Desire,ইচ্ছা
Correct,সঠিক
I Want,আমি চাই
The Family,পরিবার
Of The World,বিশ্বের
You Say,তুমি বলো
Of Death,মৃত্যুর
Check,চেক করুন
Himself,নিজেই
Kind Of,ধরনের
Special,বিশেষ
Tomorrow,কাল
The Doctor,ডাক্তার
Times,বার
First,প্রথম
The Blood,রক্ত
Slowly,ধীরে ধীরে
The Story,গল্পটি
In The Head,মূলে
One Day,এক দিন
Previous,আগে
Heard,শুনেছি
The Dream,স্বপ্ন
To Catch,ধরা
The Morning,সকাল
